285.,390.,3.,303.,1.,1.,134.,2.,1.,147.,89.,44.,5.,152.,160.,148.,36.,301.,1.,74.,104.,360.,401.,266.,30.48389957,8.45143289,22.43091648,17.52108947,27.61204976,14.92470881,16.14833835,29.89105706,16.86675613,15.39064533,26.43327784,15.263133,6.36566927,24.82800143,19.11229092,-12.65041826
285.,389.,2.,301.,1.,2.,135.,1.,0.,146.,92.,43.,3.,154.,161.,149.,34.,302.,0.,73.,106.,360.,401.,271.,30.46534078,8.60342658,22.47875419,17.55647622,27.58791131,14.90423788,16.14995643,29.86539105,16.84723448,15.43272589,26.4232975,15.24667569,6.36473335,24.74236149,19.07306297,-12.63108888
285.,389.,3.,300.,1.,1.,136.,1.,1.,146.,87.,45.,3.,152.,161.,147.,35.,301.,0.,75.,108.,362.,401.,270.,30.47350774,8.63995796,22.48664447,17.59519019,27.61011171,14.91501803,16.15354249,29.85568702,16.84149215,15.43503539,26.4385232,15.26423852,6.36893919,24.73161375,19.08966206,-12.62349728
286.,389.,2.,298.,1.,1.,135.,1.,1.,147.,89.,43.,1.,151.,161.,150.,36.,302.,0.,75.,107.,360.,400.,269.,30.47702536,8.68835647,22.53392357,17.62541163,27.63873619,14.9243128,16.15608303,29.85737259,16.84297729,15.43462882,26.45554896,15.28123175,6.3715976,24.73918901,19.10849459,-12.61805053
284.,389.,1.,299.,1.,2.,134.,1.,1.,148.,89.,45.,3.,153.,164.,148.,37.,301.,1.,74.,107.,360.,402.,271.,30.46760544,8.82171378,22.69960327,17.63499096,27.69807864,14.95889272,16.15453191,29.88214709,16.85235065,15.43512188,26.48719862,15.30781406,6.35073065,24.75946574,19.14881542,-12.6169837
284.,389.,3.,302.,2.,1.,136.,1.,1.,145.,89.,45.,3.,152.,162.,148.,39.,300.,1.,77.,110.,360.,401.,268.,30.49320411,9.18522639,23.25656096,17.57898924,27.76928517,14.97315411,16.07007558,29.93026719,16.85446458,15.39960039,26.50282256,15.31849265,6.38712966,24.88188642,19.16291161,-12.59691959
282.,388.,4.,302.,1.,1.,134.,1.,1.,146.,94.,44.,4.,153.,162.,148.,35.,302.,1.,73.,106.,359.,400.,269.,30.50758917,9.24447743,23.29356788,17.56454635,27.79134066,14.97424934,16.03260986,29.93403621,16.85200029,15.39277072,26.51468042,15.32608455,6.38852911,24.91160432,19.16790142,-12.58848937
284.,388.,3.,300.,1.,2.,134.,1.,1.,146.,92.,45.,3.,154.,162.,147.,37.,302.,0.,73.,106.,360.,399.,269.,30.52050412,9.25823567,23.28015504,17.55990662,27.81371145,14.97590589,15.99479147,29.95050553,16.86177257,15.38527819,26.54695044,15.34525539,6.37683906,24.93734246,19.19225603,-12.58369133
284.,389.,2.,299.,1.,1.,134.,1.,1.,145.,91.,42.,3.,153.,162.,148.,38.,304.,0.,74.,98.,358.,396.,268.,30.63739429,9.39839458,23.47486656,17.55841272,27.91882418,15.04107164,15.99648929,29.96288366,16.87252874,15.34534621,26.61910393,15.4215823,6.35485024,24.92371897,19.19593765,-12.58912364
283.,387.,3.,298.,2.,2.,134.,1.,1.,145.,91.,42.,3.,152.,159.,146.,40.,301.,0.,77.,94.,362.,392.,268.,30.90868981,9.62287342,23.82249596,17.52511756,27.91567494,15.00431179,16.01509902,29.91357636,16.81302861,15.27608448,26.6273442,15.42138777,6.30044571,24.83992039,19.14477052,-12.58164736
280.,385.,1.,295.,0.,1.,134.,1.,0.,144.,90.,40.,3.,152.,160.,146.,42.,305.,0.,81.,89.,362.,390.,267.,33.13899916,10.55604902,25.15459544,16.92836907,27.7039745,14.86647482,15.87777103,29.55362024,16.50525105,14.89327653,26.58102564,15.39248783,5.90091201,24.6624935,18.95602015,-12.52280757
278.,384.,2.,295.,1.,1.,133.,1.,1.,140.,90.,36.,2.,149.,160.,145.,43.,308.,1.,81.,87.,361.,384.,265.,35.20430879,12.56007118,27.24498347,16.16298988,27.2089399,14.44617402,15.75554141,29.1926177,16.20469227,14.52077287,26.57370068,15.3461418,5.63047271,24.60620501,18.5941735,-12.37122069
280.,382.,1.,291.,1.,2.,129.,1.,1.,140.,93.,33.,1.,145.,161.,141.,51.,308.,1.,88.,87.,365.,379.,263.,38.14094372,12.22872776,26.65069643,15.66916717,26.95066453,14.06139536,15.56239507,28.40828079,15.48443638,13.86615084,26.28034812,14.70373406,5.89259865,23.63993079,18.35795446,-11.97947053
281.,381.,2.,289.,1.,1.,130.,2.,0.,136.,92.,29.,1.,142.,161.,138.,57.,311.,1.,94.,91.,362.,376.,257.,39.33641298,10.93066532,24.76350808,15.55075663,26.63333508,13.81384142,15.64465619,28.16495333,15.26086758,13.58435803,26.14171133,14.53099599,5.99663264,23.58980649,18.31870162,-11.84081233
281.,382.,2.,286.,2.,2.,127.,2.,1.,133.,92.,31.,1.,140.,159.,139.,61.,313.,0.,100.,96.,363.,374.,259.,40.54715385,8.59472079,22.38844522,14.40280144,25.8653339,13.69311203,15.37649716,28.03204321,15.32797563,12.94768096,25.9848437,14.4825177,6.45095391,23.72987083,18.4955224,-11.40672898
