37.83768046,7.97518848,18.30344388,7.3004182,20.28128557,10.27215752,12.56532678,18.06643366,10.67506179,9.0030778,21.92442368,11.53129341,14.16192378,24.99976288,14.94250036,-19.52393446,33.92573178,3.39460752,2.61384779,5.37143572,17.79103681,15.6561124,10.46133157,14.47400371,12.73712326,15.75508276,20.1678097,17.74767254,10.90017091,27.39001184,24.10321042,-6.22545428
37.8227902,7.87125207,18.33471154,7.37979766,20.48747747,10.4007338,12.65832471,18.40834995,10.94087085,9.51673261,22.30909162,11.78301208,14.4370038,25.11744894,15.03863064,-19.44670443,32.4311621,4.22852173,3.25596174,6.87244871,20.48820299,18.02961864,11.49085494,15.42726128,13.57598993,15.67909726,19.73582066,17.36752218,10.69031802,27.29162379,24.01662894,-6.07606697
37.81339911,7.69841932,18.25485546,7.7336219,20.45734827,10.33621227,13.03662048,18.33470428,10.84848313,9.75919541,22.15244699,11.68899406,14.46012939,25.26039474,15.17259615,-19.2528817,34.46400411,3.67004364,2.82593361,6.78544851,18.73243946,16.48454672,10.65986188,14.74400159,12.9747214,15.88344121,20.93859304,18.42596187,10.63907274,27.64463655,24.32728017,-6.24466064
37.95429688,7.78301255,18.33056479,7.70734047,20.25441969,9.94867109,13.12137353,18.35804345,10.93843972,9.68204853,22.29021215,11.72251198,14.27021614,25.39901968,15.27552845,-19.09238865,32.87958891,3.06898907,2.36312159,5.37143572,17.79103681,15.6561124,11.676669,15.64841852,13.7706083,15.77739984,20.42219257,17.97152946,10.97273285,28.30234368,24.90606244,-6.38963502
37.90402021,8.06589795,18.61726836,7.42898269,20.28970401,10.24114415,13.07639027,18.32938667,10.90931391,9.78960004,21.99263994,11.63769227,14.435085,25.08516963,15.0452694,-18.91990848,32.50398437,3.41545799,2.62990265,5.99356381,17.66977189,15.54939926,11.2514832,15.19686733,13.37324325,15.7855281,20.66911153,18.18881814,10.83664961,28.07341101,24.70460169,-5.96441882
37.60703259,7.99064632,18.57672557,7.27972625,20.77390883,10.62477547,13.41838127,18.77522844,11.51389134,10.34990937,22.20556651,12.02101215,15.16170538,25.0950358,15.16523501,-18.88542961,34.38709704,3.98160723,3.06583756,8.40834079,22.82240817,20.08371919,13.23484294,17.35496415,15.27236845,13.98368684,19.84617658,17.46463539,10.93428762,29.08285982,25.59291664,-6.43371175
37.42805729,8.04191558,19.05150739,8.38449673,22.6544409,11.56291369,15.62382784,21.43007111,12.75316235,11.68804629,24.51282847,13.5795494,14.93729785,26.80175539,16.40390102,-19.3959749,33.28891348,3.66541555,2.82236998,7.63195621,19.44210776,17.10905483,15.56474035,22.57961715,19.87006309,17.35447386,39.17387478,34.47300981,12.4058711,34.37260667,30.24789387,-8.26410324
36.83147396,7.65680781,20.82920009,18.57508701,31.01084366,14.46796569,21.02452637,27.43832685,16.20361581,16.37221342,29.6130698,17.04454521,16.75475691,33.09631643,20.15806492,-20.56820264,32.54574748,4.57611978,3.52361223,8.97922754,21.07584926,18.54674735,21.37254166,38.79261008,34.13749687,15.87960525,33.75583591,29.7051356,13.33883098,36.38382625,32.0177671,-8.31344057
36.62885386,6.80511215,22.55403288,23.57891056,43.58985918,22.48464613,26.97312331,44.44447435,27.88443144,23.75638161,40.97675606,25.78694133,20.36535998,38.24480808,23.18509704,-21.36986073,33.57628281,5.24717153,4.04032208,30.48522986,66.76199936,58.75055943,32.09402529,60.84692409,53.5452932,21.61725685,47.68691292,41.96448337,15.64610257,40.08739124,35.27690429,-6.36635065
35.84733271,5.75006207,23.52106578,30.88470755,56.50280258,33.81647581,35.91003222,61.23327442,38.27533589,30.17550946,54.05769188,34.97961538,23.61160464,44.89043478,31.09684211,-21.77454126,35.11506482,6.63209506,5.1067132,29.75839604,64.54940119,56.80347305,36.99207315,71.34147911,62.78050162,29.56244714,59.27980006,52.16622406,20.93504882,46.53226008,40.94838887,-4.445888
35.71316069,6.10025114,24.52896748,37.89770505,67.25464582,38.8956259,39.33625348,70.53274193,40.71439459,33.64044128,61.801747,38.95273806,34.33246736,55.74539915,43.24006963,-19.79264551,35.68442508,8.25984205,6.36007838,38.50272696,79.46745495,69.93136036,42.48327473,80.7363135,71.04795588,36.47551768,70.36181845,61.91840024,29.99194797,55.12755064,48.51224457,-2.01145805
36.64104014,11.39682739,26.71846829,45.37910756,77.79541553,49.3769381,43.45758822,80.39097338,43.44646424,36.05815915,75.44291363,44.61209217,42.34883935,65.72894961,49.95902767,-14.29544144,36.44258078,11.45315671,8.81893066,47.05608256,86.32054152,75.96207653,48.53903427,89.38026144,78.65463007,43.4093897,80.64328059,70.96608692,37.18653931,64.30810223,56.59112996,-0.65458615
35.80109723,11.70453104,24.21510996,60.57834251,83.54439653,51.15634375,52.06286516,89.2857797,46.55217135,44.04822032,87.90717418,44.2070191,49.87428795,72.49478936,53.67976947,-11.4001174,37.39450346,14.29688493,11.0086014,56.55947331,86.09664635,75.76504879,55.14043792,93.93458222,82.66243235,53.17428169,85.19311931,74.96994499,46.75973744,75.39022372,66.34339687,-0.28650607
35.90452822,12.16387829,24.12972557,65.36526504,83.27067156,51.57902285,57.67183221,90.13705781,47.72214905,52.82355071,91.38415287,42.45653955,56.05232215,77.23434081,53.80247931,-11.87013092,38.805093,15.09046978,11.61966173,55.32140203,81.99776736,72.15803528,62.01930266,96.23811554,84.68954168,61.95796935,86.67272059,76.27199412,53.79198414,79.41057551,69.88130644,-1.28478915
